timestamp,attentionct_unfiltered,au01ct_linear_causal,au02ct_nonlinear_causal,au04ct_nonlinear_causal,au09ct_linear_causal,au10ct_linear_causal,au15ct_linear_causal,au17ct_nonlinear_causal,au18ct_linear_causal,au24ct_linear_causal,au25ct_nonlinear_causal,au28ct_linear_causal,eye_closurect_nonlinear_causal,smilect_nonlinear_causal,smirkct_nonlinear_causal,joyct_emotion_nonlinear_causal,disgustct_emotion_nonlinear_causal,sadnessct_emotion_nonlinear_causal,angerct_emotion_nonlinear_causal,surprisect_emotion_nonlinear_causal,contemptct_emotion_nonlinear_causal,fearct_emotion_nonlinear_causal,valencect_nonlinear_causal,expressivenessct_nonlinear_causal,Entropy,HeadAngleLeftRight,HeadAngleRoll,HeadAngleUpDown,HighFreqPower,InterOcularDistance,MeanFaceLuminance,MeanFaceLuminanceDiffLR,VarianceFaceLuminance
53000,94.2200928,0.205871582,28.8278809,0.000288263,0.0006181,0.079526782,0.002007693,0.145965576,11.0253906,0.000611544,99.3244934,0.000864476,0.005717278,0.01886785,0.036189556,0.004346639,3.13581467,0.000425499,0.025632143,41.6086426,0.193142414,1.09635162,-3.17147827,88.1838379,2.17972851,8.02490234,3.85388184,6.73828125,269.048828,226.778198,146.070862,32.6494141,3094.91797
53071.4297,93.7564697,0.185375214,30.0934143,0.000242425,0.000183683,0.077682495,0.002754003,0.108503342,13.9602051,0.000199437,99.7307663,0.000561163,0.002174616,0.01677978,0.031210899,0.004199464,3.01651001,0.000407444,0.024192929,43.600708,0.193070501,1.1585598,-1.6763916,89.3799744,2.18451023,8.43835449,4.84179688,5.28161621,273.039062,227.408447,145.773483,31.9089355,3106.17578
53142.8555,95.0232544,0.212543488,30.0786133,0.000211932,0.000152528,0.062405586,0.003551126,0.075191498,17.0878906,0.000215493,99.8796692,0.000201404,0.00093079,0.014956474,0.024587154,0.004211586,2.94319153,0.000406217,0.024308056,43.7476196,0.192961127,1.16431999,-0.740478516,89.4717255,2.17908931,7.25177002,4.58422852,4.65356445,246.167969,224.618713,147.286285,30.7255402,3014.40845
53214.2852,95.4919586,0.299438477,29.7965698,0.000185585,0.000117133,0.092060089,0.003901564,0.0687778,27.3681641,0.000285357,99.9373779,0.000191346,0.000801638,0.013456166,0.020001173,0.004254118,3.30154419,0.000408915,0.024737597,43.4655762,0.192888796,1.15586472,-5.05029297,89.3194885,2.17913651,6.73352051,7.17016602,4.42330933,274.578857,226.21521,147.497742,29.977478,3010.36914
53285.7148,95.9237366,0.565551758,29.4357605,0.000164589,9.95E-05,0.099937439,0.005691528,0.050510407,21.7382812,0.000439823,99.9643784,0.00019436,0.000580829,0.0113132,0.016573429,0.004305225,3.42774963,0.000414073,0.025241345,43.0545349,0.192849606,1.13959408,-6.47033691,89.0900879,2.18182278,6.20770264,9.66625977,3.77716064,275.257812,227.316101,147.224731,29.4411621,2987.84375
53357.1445,96.0772705,0.747421265,29.0826416,0.000144698,0.000131913,0.059749603,0.009138823,0.044811249,15.3295898,0.001436353,99.9780807,0.000215577,0.000947535,0.009973496,0.018033743,0.004355729,3.11358643,0.000419256,0.02576673,42.6391602,0.192898721,1.12269211,-2.85180664,88.8494263,2.17789364,6.00537109,10.3117676,3.89233398,286.890625,226.658203,147.971924,28.6053467,2921.48438
53428.5703,95.9705582,1.05884647,28.4373169,0.000124756,0.000174969,0.039993763,0.012674332,0.03199625,12.8616943,0.00234057,99.9900055,0.000175096,0.002261214,0.009802341,0.022983074,0.004449174,2.90663147,0.000430259,0.026687264,41.8649902,0.193002433,1.08874893,-0.291381836,88.3963623,2.18058467,6.14791107,9.43066406,2.59129333,288.765625,224.862549,147.71611,27.9832153,2876.12891
53500,95.5275879,1.02661133,29.3945923,0.000100438,0.000181362,0.028922081,0.016794682,0.026815891,10.9234619,0.002269849,99.9956055,8.48E-05,0.001858234,0.009419233,0.026699841,0.004312158,2.80715179,0.000421795,0.025309205,43.0394897,0.193083912,1.1153059,0,89.0830688,2.17871237,6.68560791,12.8155823,3.12542725,273.121094,225.956177,148.223877,27.0909424,2841.70312
53571.4297,95.7890625,1.08398438,29.7928467,8.40E-05,7.42E-05,0.015141487,0.025231361,0.024546146,7.42333984,0.00368692,99.9974976,7.95E-05,0.001834631,0.009007871,0.030188561,0.00425617,2.70905304,0.000422414,0.024766356,43.5297241,0.193161294,1.11308289,0,89.358078,2.18064928,6.35510254,13.3703156,4.11071777,282.296875,227.520752,148.066772,27.1108398,2831.63281
53642.8555,95.9729004,1.04827881,30.9190063,7.20E-05,7.01E-05,0.006798506,0.038460732,0.024535894,3.84716797,0.002899945,99.998436,8.66E-05,0.001518309,0.00810945,0.032816052,0.004101679,2.63442612,0.000417486,0.023281694,44.9190063,0.193228066,1.12882042,0,90.0993958,2.18075609,6.12329102,14.2119904,3.99133301,286.71582,228.845947,148.075806,26.9348755,2830.45312
53714.2852,96.6170197,0.887115479,31.5549316,6.38E-05,9.35E-05,0.003247261,0.057232857,0.018242359,2.01123047,0.004083991,99.9987717,8.21E-05,0.00112094,0.006490111,0.032072306,0.004016098,2.6022892,0.000423636,0.022493362,45.7058716,0.193236187,1.10864544,0,90.4979782,2.17614555,5.23919678,13.7674561,5.11248779,270.417969,228.980591,148.979004,26.8567505,2767.6875
53785.7148,97.1056137,0.815628052,32.8208618,5.40E-05,5.55E-05,0.001377642,0.076221466,0.013645649,1.07211304,0.005244374,99.9986954,8.19E-05,0.000914708,0.004528642,0.031440496,0.003852069,2.5831852,0.00041925,0.021001041,47.2797241,0.193251625,1.12155724,0,91.2459717,2.17482281,4.4342804,13.6791382,5.05548096,278.601562,228.254883,149.221802,26.4862061,2753.48828
53857.1445,97.5883789,0.732978821,33.651123,4.48E-05,8.79E-05,0.000645325,0.111198425,0.010122776,0.553924561,0.004867613,99.9984055,6.71E-05,0.000752211,0.003148735,0.024942875,0.003748044,2.57580829,0.000421252,0.020072103,48.3146973,0.193138421,1.11483574,0,91.7071838,2.16561937,3.48474121,13.7404175,6.02052307,269.199219,227.131226,150.580444,25.7255249,2675.55859
53928.5703,97.9717865,0.697906494,36.3859863,3.40E-05,9.05E-05,0.000349656,0.154314041,0.007902265,0.2837677,0.005843163,99.9979401,8.03E-05,0.001058459,0.002317727,0.020328641,0.003426462,2.57346106,0.000397107,0.017271876,51.730957,0.193055868,1.1953125,0,93.0783081,2.16783166,2.61230469,14.7431641,4.64819336,264.416016,225.992676,150.714111,25.3252563,2649.12695
54000,98.1043091,0.505607605,39.4296875,2.61E-05,4.55E-05,0.000169396,0.174301147,0.006301761,0.120193481,0.004960746,99.9972687,0.000151992,0.000536083,0.001822829,0.019777477,0.003102541,2.57169199,0.000366874,0.014615536,55.5097656,0.193051785,1.31492615,0,94.3452759,2.16949201,2.26728821,15.9472656,3.07720947,268.400391,225.084717,149.876831,24.9468384,2685.51172
54071.4297,97.9933243,0.365703583,41.2161255,2.19E-05,5.61E-05,7.03E-05,0.157159626,0.005249858,0.033901215,0.003884554,99.995636,0.000159446,0.001104832,0.001428813,0.02610302,0.002925016,2.57044816,0.000344209,0.013218343,57.7033081,0.193186998,1.41927338,0,94.9954834,2.18074918,2.55732727,10.9819946,1.25488281,264.255859,223.985138,148.501724,25.1505642,2723.38281
54142.8555,98.0800323,0.253360748,40.6942139,2.13E-05,0.000160724,1.91E-05,0.123802185,0.006608963,0.008170605,0.007224083,99.9904327,0.000330865,0.808105469,0.001199454,0.061851502,0.002975032,2.56934881,0.000336753,0.013592184,57.0592041,0.193924308,1.45741653,0,94.8131714,2.18423843,2.33262134,9.17175293,-1.38427734,222.725586,225.041016,147.510498,25.4802246,2748.4375
54214.2852,98.3386841,0.171211243,39.5045166,2.32E-05,0.000289164,5.51E-06,0.094945908,0.017242432,0.003481865,0.040710449,99.9790955,0.000642642,83.6484375,0.001028784,0.144359589,0.003092285,2.56888652,0.000339558,0.014514685,55.5838013,0.195630908,1.44247925,0,94.3757782,2.19389892,1.58679199,8.13427734,-2.17152405,193.255859,241.386719,145.217224,27.6385498,2912.45312
